Longitude,Latitude,Station.name,Section,Bodden,Bodden.Gate,Bodden.Gate.ALL,Fishereibezirke,MPA.Name,MPA.Range,MPA.Nearest,PA.Name,PA.Range,PA.Nearest,Fishing.Pressure,Boating.Reg.Name,Range.m,Range75,Include,Depth,Water.Level.Station
13.4136,54.2891,134_R,Brackish,GB,GB,GB-N,GB,Muendungsgebeit Rosengartener Bek,FSB_07,FSB_07,,,,L,,900,1329.5,,-100,LAUTERBACH
13.47426667,54.1151,135_R,Brackish,GB,GB,GB-S,GB,Daenische Wiek,,LSB_07,,,,M,GWB-36,900,1329.5,,-357,GREIFSWALD-WIECK
13.82568333,53.99173333,136_R,Brackish,P,P,P,P,Muendungsgebiet Brebowbach,,FSB_06,,,,L,GWB-09,204.0909091,373.1818182,,-260,WOLGAST
13.75871667,54.02923333,137_R,Brackish,P,P,P,P,Hohendorfer See,LSB_16,LSB_16,,,,H,,204.0909091,373.1818182,,-330,WOLGAST
13.89901667,53.99785,138_R,Brackish,P,P,P,P,,,,,,,L,,204.0909091,373.1818182,,-422,WOLGAST
13.09766667,54.35838333,139_R,Brackish,S,Gate7,Gate7,S,,,,,,,H,,808.3333333,1312.777778,,-280,STRALSUND
13.0275,53.89285,140_R,Fresh,Peene,Peene,Peene,Peene,,,,Peenetal von Salem bis Jarmen,NSG_17,NSG_17,M,,204.0909091,373.1818182,,-380,DEMMIN
12.8982,54.40546667,141_R,Brackish,BAT,BAT,BAT,BAT,,,,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,,,
13.2667,54.38239,142_R,Fresh,Sehrowbach,Sehrowbach,Sehrowbach,Sehrowbach,,,,,,,L,,204.0909091,373.1818182,No,,
13.29487,54.37765,143_R,Fresh,Sehrowbach,Sehrowbach,Sehrowbach,Sehrowbach,,,,,,,L,,204.0909091,373.1818182,No,,
13.27955,54.47826,144_R,Fresh,Duwenbeek,Duwenbeek,Duwenbeek,Duwenbeek,,,,,,,L,,204.0909091,373.1818182,No,,
13.29568,54.47233,145_R,Fresh,Duwenbeek,Duwenbeek,Duwenbeek,Duwenbeek,,,,,,,L,,204.0909091,373.1818182,No,,
13.25626,54.40523,146_R,Fresh,Landowbach,Landowbach,Landowbach,Landowbach,Kubitzer Bodden,LSB_17,LSB_17,,,,L,,808.3333333,1312.777778,No,,
