"year"	"month"	"identifier"	"id"	"name"	"waterbody"	"Lat"	"Long"	"type"	"SAL"	"WT"
2021	4	"2021_4"	"BH"	"sampling instance"	"Beek"	54.297704	13.40347025	"Freshwater"	0.47624270544	5.65
2020	2	"2020_2"	"BH"	"sampling instance"	"BEG"	54.595698	13.332292	"Coast"	8.625	4.875
2020	2	"2020_2"	"BH"	"sampling instance"	"BEG"	54.59571	13.33231	"Coast"	8.625	4.875
2020	2	"2020_2"	"BH"	"sampling instance"	"BEG"	54.61217	13.37343	"Coast"	8.625	4.875
2020	2	"2020_2"	"BH"	"sampling instance"	"BEG"	54.56701	13.32403	"Coast"	8.625	4.875
2020	3	"2020_3"	"BH"	"sampling instance"	"BEG"	54.61224	13.37287	"Coast"	8.41428571428571	5.97692307692308
2020	3	"2020_3"	"BH"	"sampling instance"	"BEG"	54.54338	13.37395	"Coast"	8.41428571428571	5.97692307692308
2021	3	"2021_3"	"BH"	"sampling instance"	"BEG"	54.59589	13.33152	"Coast"	8.41428571428571	5.97692307692308
2021	3	"2021_3"	"BH"	"sampling instance"	"BEZ"	54.5259	13.30311	"Coast"	7.5	6.5
2021	5	"2021_5"	"BH"	"sampling instance"	"BEZ"	54.557188	13.220634	"Coast"	9.22727272727273	16.5484848484848
2021	5	"2021_5"	"BH"	"sampling instance"	"BEZ"	54.557	13.16617	"Coast"	9.22727272727273	16.5484848484848
2021	5	"2021_5"	"BH"	"sampling instance"	"BEZ"	54.55034	13.19241	"Coast"	9.22727272727273	16.5484848484848
2021	5	"2021_5"	"BH"	"sampling instance"	"BEZ"	54.56917	13.18942	"Coast"	9.22727272727273	16.5484848484848
2021	5	"2021_5"	"BH"	"sampling instance"	"BEZ"	54.58353	13.25206	"Coast"	9.22727272727273	16.5484848484848
2021	3	"2021_3"	"BH"	"sampling instance"	"Duwenbeek"	54.4783214	13.277323	"Freshwater"	0.463064700345714	5.94285714285714
2021	3	"2021_3"	"BH"	"sampling instance"	"Duwenbeek"	54.478228	13.280008	"Freshwater"	0.463064700345714	5.94285714285714
2020	3	"2020_3"	"BH"	"sampling instance"	"Duwenbeek"	54.478321	13.279487	"Freshwater"	0.463064700345714	5.94285714285714
2020	3	"2020_3"	"BH"	"sampling instance"	"Duwenbeek"	54.47893	13.267722	"Freshwater"	0.463064700345714	5.94285714285714
2021	3	"2021_3"	"BH"	"sampling instance"	"Duwenbeek"	54.4779	13.27939	"Freshwater"	0.463064700345714	5.94285714285714
2021	4	"2021_4"	"BH"	"sampling instance"	"Duwenbeek"	54.4783214	13.277323	"Freshwater"	0.52835815492	6.7
2022	2	"2022_2"	"BH"	"sampling instance"	"GB"	54.36188	13.6555267	"Coast"	7.00588235294118	3.98823529411765
2022	2	"2022_2"	"BH"	"sampling instance"	"GB"	54.361754	13.68808	"Coast"	7.00588235294118	3.98823529411765
2022	2	"2022_2"	"BH"	"sampling instance"	"GB"	54.36242	13.65557	"Coast"	7.00588235294118	3.98823529411765
2020	2	"2020_2"	"BH"	"sampling instance"	"GB"	54.27662	13.39109	"Coast"	7.00588235294118	3.98823529411765
2020	2	"2020_2"	"BH"	"sampling instance"	"GB"	54.29655	13.6997	"Coast"	7.00588235294118	3.98823529411765
2020	2	"2020_2"	"BH"	"sampling instance"	"GB"	54.3318	13.62376	"Coast"	7.00588235294118	3.98823529411765
2020	2	"2020_2"	"BH"	"sampling instance"	"GB"	54.34936	13.68285	"Coast"	7.00588235294118	3.98823529411765
2020	2	"2020_2"	"BH"	"sampling instance"	"GB"	54.34074	13.5535	"Coast"	7.00588235294118	3.98823529411765
2020	3	"2020_3"	"BH"	"sampling instance"	"GB"	54.17592	13.42143	"Coast"	6.571875	5.29375
2020	3	"2020_3"	"BH"	"sampling instance"	"GB"	54.289983	13.704633	"Coast"	6.571875	5.29375
2020	3	"2020_3"	"BH"	"sampling instance"	"GB"	54.3248882824427	13.5519531083969	"Coast"	6.571875	5.29375
2020	3	"2020_3"	"BH"	"sampling instance"	"GB"	54.2542	13.29758	"Coast"	6.571875	5.29375
2020	3	"2020_3"	"BH"	"sampling instance"	"GB"	54.161667	13.687399	"Coast"	6.571875	5.29375
2021	3	"2021_3"	"BH"	"sampling instance"	"GB"	54.3248882824427	13.5519531083969	"Coast"	6.571875	5.29375
2021	7	"2021_7"	"BH"	"sampling instance"	"GB"	54.361377	13.655548	"Coast"	7.3	22.425
2021	7	"2021_7"	"BH"	"sampling instance"	"GB"	54.363119	13.690805	"Coast"	7.3	22.425
2021	7	"2021_7"	"BH"	"sampling instance"	"GB"	54.362428	13.656792	"Coast"	7.3	22.425
2021	7	"2021_7"	"BH"	"sampling instance"	"GB"	54.364008	13.688461	"Coast"	7.3	22.425
2021	10	"2021_10"	"BH"	"sampling instance"	"GB"	54.361377	13.655548	"Coast"	6.275	12.975
2021	10	"2021_10"	"BH"	"sampling instance"	"GB"	54.360912	13.690215	"Coast"	6.275	12.975
2021	10	"2021_10"	"BH"	"sampling instance"	"GB"	54.362428	13.656792	"Coast"	6.275	12.975
