"id"	"year"	"month"	"name"	"waterbody"	"identifier"	"Lat"	"Long"	"type"	"SAL"
"20803904"	2020	6	"Logger"	"Peene"	"6_2020"	53.8599666666667	13.6680166666667	"Freshwater"	1.066
"20803904"	2020	7	"Logger"	"Peene"	"7_2020"	53.8599666666667	13.6680166666667	"Freshwater"	1.3641935483871
"20803904"	2020	8	"Logger"	"Peene"	"8_2020"	53.8599666666667	13.6680166666667	"Freshwater"	1.23032258064516
"20803904"	2020	9	"Logger"	"Peene"	"9_2020"	53.8599666666667	13.6680166666667	"Freshwater"	1.28666666666667
"20803904"	2020	10	"Logger"	"Peene"	"10_2020"	53.8599666666667	13.6680166666667	"Freshwater"	0.831935483870968
"20803904"	2020	11	"Logger"	"Peene"	"11_2020"	53.8599666666667	13.6680166666667	"Freshwater"	1.05066666666667
"20803904"	2020	12	"Logger"	"Peene"	"12_2020"	53.8599666666667	13.6680166666667	"Freshwater"	0.734516129032258
"20803904"	2021	1	"Logger"	"Peene"	"1_2021"	53.8599666666667	13.6680166666667	"Freshwater"	0.595161290322581
"20803904"	2021	2	"Logger"	"Peene"	"2_2021"	53.8599666666667	13.6680166666667	"Freshwater"	0.495357142857143
"20803904"	2021	3	"Logger"	"Peene"	"3_2021"	53.8599666666667	13.6680166666667	"Freshwater"	0.43
"20803906"	2020	4	"Logger"	"Barthe"	"4_2020"	54.3194833333333	12.6992333333333	"Freshwater"	0.670625
"20803906"	2020	5	"Logger"	"Barthe"	"5_2020"	54.3194833333333	12.6992333333333	"Freshwater"	0.629677419354839
"20803906"	2020	6	"Logger"	"Barthe"	"6_2020"	54.3194833333333	12.6992333333333	"Freshwater"	0.514666666666667
"20803906"	2020	7	"Logger"	"Barthe"	"7_2020"	54.3194833333333	12.6992333333333	"Freshwater"	0.481935483870968
"20803906"	2020	8	"Logger"	"Barthe"	"8_2020"	54.3194833333333	12.6992333333333	"Freshwater"	0.525161290322581
"20803906"	2020	9	"Logger"	"Barthe"	"9_2020"	54.3194833333333	12.6992333333333	"Freshwater"	0.5204
"20803907"	2020	4	"Logger"	"Sehrowbach"	"4_2020"	54.3807833333333	13.2840833333333	"Freshwater"	0.542857142857143
"20803907"	2020	5	"Logger"	"Sehrowbach"	"5_2020"	54.3807833333333	13.2840833333333	"Freshwater"	0.503225806451613
"20803907"	2020	6	"Logger"	"Sehrowbach"	"6_2020"	54.3807833333333	13.2840833333333	"Freshwater"	0.438666666666667
"20803907"	2020	7	"Logger"	"Sehrowbach"	"7_2020"	54.3807833333333	13.2840833333333	"Freshwater"	0.429032258064516
"20803907"	2020	8	"Logger"	"Sehrowbach"	"8_2020"	54.3807833333333	13.2840833333333	"Freshwater"	0.52
"20803907"	2020	9	"Logger"	"Sehrowbach"	"9_2020"	54.3807833333333	13.2840833333333	"Freshwater"	0.911666666666667
"20803907"	2020	10	"Logger"	"Sehrowbach"	"10_2020"	54.3807833333333	13.2840833333333	"Freshwater"	1.17516129032258
"20803907"	2020	11	"Logger"	"Sehrowbach"	"11_2020"	54.3807833333333	13.2840833333333	"Freshwater"	0.64
