year,name,waterbody,identifier,Lat,Long,type,turbidity,SAL,WT
2022,Odin,Open Baltic,2022,55.2371,16.7728,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2287,16.9136,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2284,16.914,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.9995,18.0002,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.7163,17.3662,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.1167,17.667,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.0835,19.1668,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.8668,18.6405,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.8396,18.8673,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.8402,18.8666,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.623,18.6052,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.6329,18.6001,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3267,18.2353,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3267,18.2495,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4412,18.3209,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4413,18.3204,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.7274,18.7652,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.7273,18.7654,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.55,18.4012,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.5505,18.3994,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.6335,19.5837,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.4919,19.4819,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.2345,19.3012,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.3467,19.379,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.959,19.0468,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2509,17.3596,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2522,17.3596,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2861,17.5939,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2861,17.5937,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3075,17.9301,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3077,17.9309,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.6161,20.1674,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3204,20.0489,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.32,20.0504,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3198,20.0501,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3199,20.0502,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3209,20.0491,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3207,20.0497,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3203,20.0497,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3202,20.0501,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.0716,19.8308,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.2109,19.931,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.4703,20.2596,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.183,20.0487,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.3499,20.1469,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.6414,20.3449,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.8833,20.3163,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.7832,19.1001,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.4416,20.3335,Sea,,10.67,
2022,Odin,Open Baltic,2022,58,19.9008,Sea,,10.67,
2022,Odin,Open Baltic,2022,58,19.9001,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.7148,19.8532,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.9965,20.1597,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.7665,20.3301,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.8499,19.8163,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.5999,10.4495,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.6647,10.7775,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.2311,12.0758,Sea,,10.67,
