"ID"	"age"	"capt"	"area"	"d18O"	"res"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"year"	"dist"
"BH-01860"	7	"KB"	"WRB"	-6.01966717142857	0.480772305087076	0.00348280193236715	0.00621913043478261	3.83429951690821e-05	3.44628019323672e-06	8.98512077294685e-06	1	571.6861027
"BH-01860"	7	"KB"	"WRB"	-6.14022555714286	0.331233576335514	0.00359859903381643	0.0068327536231884	5.99178743961352e-05	4.1318115942029e-06	9.41859903381641e-06	1	612.6793615
"BH-01860"	7	"KB"	"WRB"	-6.12082535714286	0.333978532143598	0.00290835748792271	0.00650144927536232	7.73140096618358e-05	3.97826086956522e-06	2.15821256038647e-05	1	653.4707339
"BH-01860"	7	"KB"	"WRB"	-6.15546857142857	0.235241168139636	0.0034254347826087	0.00704036231884058	8.05316425120773e-05	4.61591787439613e-06	2.85562801932367e-05	2	694.2621983
"BH-01860"	7	"KB"	"WRB"	-6.18734032857143	0.148035534336908	0.00407927536231884	0.00643541062801933	7.75579710144928e-05	4.63753623188406e-06	2.09990338164251e-05	2	735.0537395
"BH-01860"	7	"KB"	"WRB"	-6.34947057142857	-0.0337366986417864	0.00387562801932367	0.00573403381642512	5.48927536231884e-05	3.95596618357488e-06	1.56022946859903e-05	2	776.0470347
"BH-01860"	7	"KB"	"WRB"	-6.19149751428571	0.0642996573166494	0.00338053140096618	0.00548014492753623	3.55e-05	3.40130434782609e-06	7.86541062801932e-06	2	816.8384173
"BH-01860"	7	"KB"	"WRB"	-6.33561328571429	-0.176546325713761	0.00386787439613527	0.00582746376811594	2.88934782608696e-05	3.60190821256038e-06	3.24888405797102e-06	2	857.6298735
"BH-01860"	7	"KB"	"WRB"	-6.3411562	-0.208204633806621	0.00381990338164251	0.00606502415458937	3.79816425120773e-05	3.5819806763285e-06	6.07454106280192e-06	2	898.4213933
"BH-01860"	7	"KB"	"WRB"	-6.418757	-0.339394163727326	0.00376	0.00615833333333333	6.22e-05	4.18611111111111e-06	1.48055555555556e-05	2	939.4147114
"BH-01860"	7	"KB"	"WRB"	-6.38827097142857	-0.361986046083159	0.00416067632850241	0.00671502415458937	7.07149758454106e-05	6.39570048309178e-06	2.40314009661835e-05	3	980.2061008
"BH-01860"	7	"KB"	"WRB"	-6.321756	-0.304122276041767	0.00434026570048309	0.00684079710144928	6.9004347826087e-05	5.58451690821256e-06	2.87173913043478e-05	3	1020.018137
"BH-01860"	7	"KB"	"WRB"	-6.10142515714286	-0.157954716015622	0.00467202898550725	0.00597661835748792	6.88251207729469e-05	5.2951690821256e-06	2.09015458937198e-05	3	1059.830175
"BH-01860"	7	"KB"	"WRB"	-6.21228344285714	-0.292619711830032	0.00466582125603865	0.00529205314009662	6.02756038647344e-05	5.21780193236715e-06	7.93371980676329e-06	3	1099.844534
"BH-01860"	7	"KB"	"WRB"	-6.06678194285714	-0.116732662095489	0.00421487922705314	0.00572980676328502	5.10913043478261e-05	4.86207729468599e-06	7.03589371980676e-06	3	1139.656527
"BH-01860"	7	"KB"	"WRB"	-5.89633732857143	0.0349498068830034	0.00453195652173913	0.00571185990338164	4.5195652173913e-05	5.3145652173913e-06	7.19596618357488e-06	3	1179.468524
"BH-01860"	7	"KB"	"WRB"	-5.92128044285714	0.0211519995325259	0.00446526570048309	0.0063112077294686	4.88028985507246e-05	5.89458937198068e-06	9.02004830917873e-06	3	1219.483497
"BH-01860"	7	"KB"	"WRB"	-6.17348304285714	-0.328040766219002	0.00427562801932367	0.0059177536231884	5.28533816425121e-05	4.46739130434783e-06	1.35721980676329e-05	4	1259.295438
"BH-01860"	7	"KB"	"WRB"	-6.2441552	-0.494610554540221	0.00532570048309179	0.00590714975845411	7.81632850241546e-05	5.18618357487923e-06	1.71579710144927e-05	4	1299.107386
"BH-01860"	7	"KB"	"WRB"	-6.3993568	-0.661271951460745	0.00498835748792271	0.00557128019323672	5.79321256038648e-05	6.01748792270531e-06	1.2173309178744e-05	4	1338.91934
"BH-01860"	7	"KB"	"WRB"	-6.15408284285714	-0.480233937208692	0.00426207729468599	0.00536202898550725	4.97903381642512e-05	3.72743961352657e-06	7.84376811594203e-06	4	1378.934734
"BH-01860"	7	"KB"	"WRB"	-6.19288324285714	-0.670364009551004	0.00446417874396135	0.00603934782608696	4.3375845410628e-05	4.12420289855072e-06	6.99992753623188e-06	4	1418.74663
"BH-01860"	7	"KB"	"WRB"	-6.53654392857143	-1.12351992811965	0.00438386473429952	0.0056784541062802	5.4495652173913e-05	4.49217391304348e-06	1.83992753623188e-05	5	1458.558535
"BH-01860"	7	"KB"	"WRB"	-6.55178694285714	-1.17287874329488	0.00575400966183575	0.00631507246376812	6.53152173913044e-05	5.67176328502416e-06	2.25814009661836e-05	5	1498.370448
"BH-01860"	7	"KB"	"WRB"	-6.79983235714286	-1.42350188474324	0.00554985507246377	0.00585125603864734	5.93178743961353e-05	5.23932367149759e-06	1.52330917874396e-05	5	1538.386167
