"ID"	"capt"	"area"	"d18O"	"dist"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"
"BH-00424"	"Peene"	"Freshwater"	-7.6409696	277.6256472	0.00117036257309942	0.00702058479532164	6.56713450292398e-05	3.01637426900585e-05	8.79029239766082e-05
"BH-00424"	"Peene"	"Freshwater"	-7.7961712	311.8589425	0.0012419298245614	0.00671865497076023	6.08052631578947e-05	3.46362573099415e-05	7.47964912280702e-05
"BH-00424"	"Peene"	"Freshwater"	-7.4566677	347.0864446	0.00123894736842105	0.00709070175438596	6.94906432748538e-05	3.33959064327485e-05	7.46695906432748e-05
"BH-00424"	"Peene"	"Freshwater"	-8.0192735	381.3200755	0.0010984269005848	0.00706701754385965	6.43292397660819e-05	3.32614035087719e-05	5.73643274853801e-05
"BH-00424"	"Peene"	"Freshwater"	-6.8261612	416.4384708	0.000998187134502924	0.00692795321637427	6.22538011695906e-05	3.72783625730994e-05	3.96321637426901e-05
"BH-00424"	"Peene"	"Freshwater"	-6.8358613	450.6717209	0.00110611111111111	0.00676614035087719	5.64614035087719e-05	7.86508771929825e-05	4.79847953216374e-05
"BH-00424"	"Peene"	"Freshwater"	-6.0889536	485.8991665	0.00136204678362573	0.00671105263157895	5.35643274853801e-05	9.3033918128655e-05	4.19795321637427e-05
"BH-00424"	"Peene"	"Freshwater"	-5.9143518	520.1326754	0.00115919298245614	0.00649836257309941	4.87146198830409e-05	4.58321637426902e-05	3.24923976608187e-05
"BH-00424"	"Peene"	"Freshwater"	-7.8834721	555.3602434	0.000940994152046784	0.00639163742690058	5.41257309941521e-05	2.67713450292398e-05	4.32315789473684e-05
"BH-00424"	"Peene"	"Freshwater"	-5.9919526	589.4845206	0.000870175438596491	0.0067593567251462	6.52245614035088e-05	2.01070175438596e-05	6.55122807017545e-05
"BH-00424"	"Peene"	"Freshwater"	-5.5845484	624.7119336	0.000855421052631579	0.00680502923976608	6.9640350877193e-05	1.87461988304094e-05	9.83479532163743e-05
"BH-00424"	"Peene"	"Freshwater"	-5.2935454	658.9453695	0.000866444444444444	0.00667666666666667	7.71666666666667e-05	1.66777777777778e-05	9.18888888888889e-05
"BH-00670"	"KB"	"WRB"	-6.0016527	0	0.00441555555555556	0.00763111111111111	0.000100388888888889	7.60444444444444e-06	5.13666666666667e-05
"BH-00670"	"KB"	"WRB"	-6.7485604	41.30375286	0.00404777777777778	0.00755777777777778	8.55555555555556e-05	7.28666666666667e-06	5.67888888888889e-05
"BH-00670"	"KB"	"WRB"	-6.2150549	82.87339742	0.00473666666666667	0.00802222222222222	8.82666666666667e-05	8.05777777777778e-06	5.32222222222222e-05
"BH-00670"	"KB"	"WRB"	-5.6524491	124.1692393	0.00474777777777778	0.00816888888888889	9.86555555555555e-05	1.12744444444444e-05	6.96666666666667e-05
"BH-00670"	"KB"	"WRB"	-5.5263478	165.7467948	0.00461111111111111	0.00813333333333333	0.000109888888888889	1.02122222222222e-05	8.16333333333333e-05
"BH-00670"	"KB"	"WRB"	-7.3693668	207.0410587	0.00416333333333333	0.00798	0.000122222222222222	8.04333333333333e-06	9.02e-05
"BH-00670"	"KB"	"WRB"	-6.5060579	248.6201923	0.00387222222222222	0.00753333333333333	0.000118611111111111	6.16e-06	5.27111111111111e-05
"BH-00670"	"KB"	"WRB"	-7.1365644	290.056891	0.00366555555555556	0.00819777777777778	9.43888888888889e-05	7.33777777777778e-06	6.31444444444444e-05
"BH-00670"	"KB"	"WRB"	-6.4478573	331.4935897	0.00398333333333333	0.00854444444444444	9.51888888888889e-05	5.65111111111111e-06	3.90666666666667e-05
"BH-00670"	"KB"	"WRB"	-5.1965444	414.3669871	0.00345666666666667	0.00830555555555556	7.75222222222222e-05	4.49777777777778e-06	3.01888888888889e-05
"BH-00670"	"KB"	"WRB"	-7.1365644	455.8036858	0.00368888888888889	0.00828444444444444	7.41222222222222e-05	5.87888888888889e-06	4.16e-05
"BH-00670"	"KB"	"WRB"	-6.7291602	497.2403845	0.00401222222222222	0.00814888888888889	7.77777777777778e-05	6.24333333333333e-06	3.88444444444444e-05
"BH-00670"	"KB"	"WRB"	-5.0219426	538.6770832	0.00414444444444444	0.00812111111111111	6.55888888888889e-05	6.14333333333333e-06	2.35555555555556e-05
"BH-00670"	"KB"	"WRB"	-4.8861412	580.1137819	0.00462444444444444	0.00762444444444444	5.50666666666667e-05	6.03555555555556e-06	1.09111111111111e-05
"BH-00670"	"KB"	"WRB"	-4.4884371	621.5504807	0.00496111111111111	0.00695666666666667	5.09333333333333e-05	5.71333333333333e-06	4.70915555555556e-06
"BH-00681"	"WB"	"NRB"	-8.4363778	0	0.00433333333333333	0.00784333333333333	0.000131111111111111	8.31111111111111e-06	0.000107088888888889
