"ID"	"capt"	"area"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"d18O"
"BH-00355"	"Peene"	"Freshwater"	-1.22367105774775	0.445441404817575	0.331490044973152	0.331490044973152	0.651385303384072	-1.63398442251905
"BH-00355"	"Peene"	"Freshwater"	-1.22882236575161	0.406658435260904	0.305137346279097	0.305137346279097	0.59844763787693	-1.62899956837245
"BH-00355"	"Peene"	"Freshwater"	-1.23391344466573	0.368898558893601	0.277981993081691	0.277981993081691	0.546680078651341	-1.62401471422586
"BH-00355"	"Peene"	"Freshwater"	-1.23816088611571	0.353010523482223	0.253507775725311	0.253507775725311	0.498592567972786	-1.61902986007926
"BH-00355"	"Peene"	"Freshwater"	-1.24131000709351	0.36559714893799	0.232524093709133	0.232524093709133	0.455296063893202	-1.61404500593267
"BH-00355"	"Peene"	"Freshwater"	-1.24445912807132	0.378183774393759	0.211540411692956	0.211540411692956	0.411999559813618	-1.60906015178607
"BH-00355"	"Peene"	"Freshwater"	-1.24807287345569	0.53004863235187	0.205125920661974	0.205125920661974	0.414684375105795	-1.59321835535298
"BH-00355"	"Peene"	"Freshwater"	-1.25169436258016	0.684234794185021	0.198954249480746	0.198954249480745	0.418135545720834	-1.57719560988178
"BH-00355"	"Peene"	"Freshwater"	-1.25433712899638	0.823332480830418	0.207908231440397	0.207908231440396	0.438971152518933	-1.56117286441058
"BH-00355"	"Peene"	"Freshwater"	-1.2561216308838	0.949198735388091	0.23012624769282	0.23012624769282	0.475051572585253	-1.54515011893939
"BH-00355"	"Peene"	"Freshwater"	-1.25806100757341	1.07227082787396	0.249612540635519	0.249612540635518	0.511350583934939	-1.52912737346819
"BH-00355"	"Peene"	"Freshwater"	-1.26173498204752	1.1640483051556	0.238503532509307	0.238503532509307	0.550097817658336	-1.51310462799699
"BH-00355"	"Peene"	"Freshwater"	-1.26540895652162	1.25582578243723	0.227394524383096	0.227394524383096	0.588845051381731	-1.49708188252579
"BH-00355"	"Peene"	"Freshwater"	-1.26881792300088	1.28405111807336	0.228360745035239	0.228360745035239	0.621453727535754	-1.48105913705459
"BH-00355"	"Peene"	"Freshwater"	-1.27207201467794	1.27513559170886	0.236383917570837	0.236383917570836	0.650474934980403	-1.46503639158339
"BH-00355"	"Peene"	"Freshwater"	-1.2749853817902	1.26593635042629	0.241179609603463	0.241179609603463	0.675931818675093	-1.4490136461122
"BH-00355"	"Peene"	"Freshwater"	-1.27635000088058	1.25544749587982	0.231304935713498	0.231304935713497	0.685187230779062	-1.432990900641
"BH-00355"	"Peene"	"Freshwater"	-1.27771461997096	1.24495864133335	0.221430261823531	0.221430261823531	0.694442642883031	-1.4169681551698
"BH-00355"	"Peene"	"Freshwater"	-1.27904095056858	1.23102651937223	0.21785878653341	0.21785878653341	0.694886254605158	-1.4009454096986
"BH-00355"	"Peene"	"Freshwater"	-1.28035308430933	1.21581768027985	0.216624452297165	0.216624452297165	0.69206256955649	-1.3849226642274
"BH-00355"	"Peene"	"Freshwater"	-1.28132879556311	1.21507830200854	0.221811354087728	0.221811354087728	0.690900178261409	-1.36552609475535
"BH-00355"	"Peene"	"Freshwater"	-1.28143376626237	1.25178929292119	0.243617925594736	0.243617925594735	0.694037606093263	-1.33739727492813
"BH-00355"	"Peene"	"Freshwater"	-1.28153873696163	1.28850028383385	0.265424497101743	0.265424497101743	0.697175033925117	-1.30926845510092
"BH-00355"	"Peene"	"Freshwater"	-1.28355555105234	1.33085548213155	0.278715511377821	0.278715511377821	0.703559185230508	-1.2811396352737
"BH-00355"	"Peene"	"Freshwater"	-1.28596987713532	1.37438422849942	0.290235964249448	0.290235964249447	0.71061839785218	-1.25301081544649
"BH-00355"	"Peene"	"Freshwater"	-1.28949241846951	1.41296945735562	0.288880220088325	0.288880220088325	0.71442445784492	-1.22575463694822
"BH-00355"	"Peene"	"Freshwater"	-1.29484592413178	1.44338713554039	0.266250759090487	0.266250759090487	0.712855743928994	-1.19994021368906
"BH-00355"	"Peene"	"Freshwater"	-1.30019942979405	1.47380481372516	0.243621298092648	0.243621298092648	0.711287030013067	-1.17412579042991
"BH-00355"	"Peene"	"Freshwater"	-1.30234444580434	1.47702024946318	0.204604869734378	0.204604869734378	0.706957636771324	-1.14831136717076
"BH-00355"	"Peene"	"Freshwater"	-1.30423391839103	1.47806913491783	0.164283284683685	0.164283284683685	0.702408366415136	-1.12249694391161
"BH-00355"	"Peene"	"Freshwater"	-1.30667233610991	1.42426646954748	0.123081477677636	0.123081477677635	0.687194413092801	-1.09668252065245
"BH-00355"	"Peene"	"Freshwater"	-1.30971648638845	1.30993795499092	0.0809083912725737	0.0809083912725735	0.660212533738858	-1.0708680973933
"BH-00355"	"Peene"	"Freshwater"	-1.31272191796645	1.19533862164895	0.0387504811081215	0.0387504811081213	0.632289426035358	-1.04505367413415
"BH-00355"	"Peene"	"Freshwater"	-1.31419150775609	1.0699968098186	-0.00280543817881834	-0.00280543817881851	0.567030927132796	-1.019239250875
"BH-00355"	"Peene"	"Freshwater"	-1.31566109754574	0.944654997988247	-0.0443613574657571	-0.0443613574657573	0.501772428230236	-0.993424827615843
"BH-00355"	"Peene"	"Freshwater"	-1.31249304742544	0.851510530646864	-0.0697461492587129	-0.0697461492587131	0.43777404378473	-0.967610404356689
"BH-00355"	"Peene"	"Freshwater"	-1.30587989337205	0.782284090640143	-0.0831181034847081	-0.0831181034847082	0.374711744364466	-0.941795981097537
"BH-00355"	"Peene"	"Freshwater"	-1.29958939515655	0.72447072801903	-0.0954530146023823	-0.0954530146023824	0.310839371364666	-0.913398656246031
