"ID"	"capt"	"area"	"clust"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"d18O"
"BH-00670"	"KB"	"Marine"	2	0.00376124497991968	0.00771696117804551	0.000112499330655957	5.86085676037483e-06	4.89510040160643e-05	-6.72531466408491
"BH-00670"	"KB"	"Marine"	2	0.0036781124497992	0.00778429718875502	0.000106925435073628	5.86029451137885e-06	5.02791164658635e-05	-6.72287711744119
"BH-00670"	"KB"	"Marine"	2	0.00361176706827309	0.00776954484605087	0.000100294511378849	6.02381526104418e-06	5.29113788487282e-05	-6.72043957079748
"BH-00670"	"KB"	"Marine"	2	0.00357323962516734	0.00774986613119143	9.4740562248996e-05	6.36457831325301e-06	5.6425702811245e-05	-6.71800202415376
"BH-00670"	"KB"	"Marine"	2	0.00356145917001339	0.00782336010709505	9.24805890227577e-05	6.7740562248996e-06	5.97087014725569e-05	-6.71556447751004
"BH-00670"	"KB"	"Marine"	2	0.00359273092369478	0.00793183400267737	9.29203480589023e-05	7.10729585006693e-06	6.21127175368139e-05	-6.71312693086632
"BH-00670"	"KB"	"Marine"	2	0.0036535609103079	0.00815392235609103	9.41452476572958e-05	7.3019812583668e-06	6.29926372155288e-05	-6.71068938422261
"BH-00670"	"KB"	"Marine"	2	0.00375875502008032	0.00840471218206158	9.53366800535475e-05	7.34093708165997e-06	6.37289156626506e-05	-6.68690939150889
"BH-00670"	"KB"	"Marine"	2	0.00384717536813922	0.00858269076305221	9.54598393574297e-05	7.3605890227577e-06	6.38289156626506e-05	-6.65806508955823
"BH-00670"	"KB"	"Marine"	2	0.00392033467202142	0.00867388219544846	9.58468540829987e-05	7.36550200803213e-06	6.34096385542169e-05	-6.60122239225473
"BH-00670"	"KB"	"Marine"	2	0.00397109772423025	0.00868081659973226	9.69935742971888e-05	7.29610441767068e-06	6.16507362784471e-05	-6.51997083746414
"BH-00670"	"KB"	"Marine"	2	0.0039873360107095	0.00864651941097724	9.81724230254351e-05	7.15077643908969e-06	5.76922356091031e-05	-6.43871928267355
"BH-00670"	"KB"	"Marine"	2	0.00399164658634538	0.00866872824631861	9.88765729585007e-05	6.97352074966533e-06	5.23265060240964e-05	-6.35746772788296
"BH-00670"	"KB"	"Marine"	2	0.00397796519410977	0.00864038821954485	9.80556894243641e-05	6.42528781793842e-06	4.60526104417671e-05	-6.27621617309237
"BH-00670"	"KB"	"Marine"	2	0.00398259705488621	0.00855710843373494	9.55673360107095e-05	5.75271753681392e-06	3.9981124497992e-05	-6.19496461830178
"BH-00670"	"KB"	"Marine"	2	0.00395511378848728	0.0084946452476573	9.25412315930388e-05	5.28923694779116e-06	3.55309236947791e-05	-6.11371306351119
"BH-00670"	"KB"	"Marine"	2	0.00388708165997323	0.00847360107095047	8.93333333333333e-05	4.88543507362785e-06	3.30246318607765e-05	-6.05300813476764
"BH-00670"	"KB"	"Marine"	2	0.00377463186077644	0.00848572958500669	8.61057563587684e-05	4.63175368139224e-06	3.12998661311914e-05	-6.04734835180723
"BH-00670"	"KB"	"Marine"	2	0.00364534136546185	0.00847215528781794	8.33918340026774e-05	4.48694779116466e-06	3.00479250334672e-05	-6.07619265375789
"BH-00670"	"KB"	"Marine"	2	0.0035358500669344	0.00839302543507363	8.12052208835341e-05	4.37115127175368e-06	2.94338688085676e-05	-6.10503695570855
"BH-00670"	"KB"	"Marine"	2	0.00346519410977242	0.00829506024096385	7.89499330655957e-05	4.33045515394913e-06	2.92419009370817e-05	-6.13388125765921
"BH-00670"	"KB"	"Marine"	2	0.0034436546184739	0.0082860374832664	7.77282463186078e-05	4.40127175368139e-06	2.95708165997323e-05	-6.16272555960987
"BH-00670"	"KB"	"Marine"	2	0.00345538152610442	0.00830362784471218	7.75425702811245e-05	4.48824631860776e-06	3.01278447121821e-05	-6.19156986156053
"BH-00670"	"KB"	"Marine"	2	0.00348364123159304	0.00845087014725569	7.92973226238286e-05	4.60132530120482e-06	3.07196787148594e-05	-6.22041416351119
"BH-00670"	"KB"	"Marine"	2	0.00349847389558233	0.00865309236947791	8.12172690763052e-05	4.77799196787149e-06	3.13967871485944e-05	-6.24925846546185
