"ID"	"age"	"cohort"	"capt"	"TL"	"weigth"	"sex"	"date"	"core"	"i"	"year"	"increment"	"quality"	"rad"
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"4"	2018	166.7	3	734.5
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"5"	2019	117	3	851.5
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"6"	2020	134.7	3	986.2
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"edge"	NA	113.9	3	1100.1
"BH-01877"	2	2018	"KD"	434	NA	"m"	2020-10-09	205.6	"core"	NA	NA	3	NA
"BH-01877"	2	2018	"KD"	434	NA	"m"	2020-10-09	205.6	"1"	2019	389.8	3	389.8
"BH-01877"	2	2018	"KD"	434	NA	"m"	2020-10-09	205.6	"2"	2020	237.8	3	627.6
"BH-01877"	2	2018	"KD"	434	NA	"m"	2020-10-09	205.6	"edge"	NA	219.6	3	847.2
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"core"	NA	NA	3	NA
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"1"	2017	462.9	3	462.9
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"2"	2018	170.7	3	633.6
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"3"	2019	186	3	819.6
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"4"	2020	149.9	3	969.5
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"edge"	NA	95.8	3	1065.3
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"core"	NA	NA	3	NA
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"1"	2017	545.4	3	545.4
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"2"	2018	202.6	3	748
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"3"	2019	184.4	3	932.4
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"4"	2020	168.3	3	1100.7
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"edge"	NA	152.3	3	1253
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"core"	NA	NA	3	NA
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"1"	2017	464.3	3	464.3
