"ID"	"capt"	"area"	"Sr"	"d18O"	"clust"
"BH-01902"	"GB"	"GB"	0.00378552467648371	-7.28213567245385	"IntS"
"BH-01903"	"GB"	"GB"	0.00360008701472557	-7.49759689073551	"LowS"
"BH-01904"	"GB"	"GB"	0.00376536995983936	-6.87844739915364	"LowS"
"BH-01906"	"SB"	"WRB"	0.00512975571619813	-5.60291730629306	"HighS"
"BH-01922"	"KB"	"WRB"	0.00512978613119143	-5.36887473301832	"HighS"
"BH-90307"	"SB"	"WRB"	0.00432810165104864	-6.15352558333525	"IntS"
"BH-90910"	"NHG"	"Freshwater"	0.00314517579651941	-6.1469867921162	"LowS"
"BH-90928"	"Sehrowbach"	"Freshwater"	0.00320580126729139	-7.30474037441293	"LowS"
"BH-90946"	"Sehrowbach"	"Freshwater"	0.00371601770638108	-6.71764378270958	"IntS"
"BH-90970"	"Sehrowbach"	"Freshwater"	0.00429974506024096	-6.32514917623156	"IntS"
"BH-90981"	"Sehrowbach"	"Freshwater"	0.00444223507362784	-6.38481960572737	"LowS"
"BH-90997"	"Bandycksgraben"	"Freshwater"	0.00409712569388666	-7.18989732694588	"IntS"
"BH-91054"	"Sehrowbach"	"Freshwater"	0.00468549431503793	-5.92227597103951	"IntS"
"BH-91117"	"NHG"	"Freshwater"	0.00266448141008478	-6.45906247560406	"LowS"
"BH-91328"	"NHG"	"Freshwater"	0.00288934061579652	-5.4054072203284	"LowS"
