"ID"	"capt"	"area"	"clust"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"d18O"
"BH-00355"	"Peene"	"Freshwater"	1	0.000808455600178492	0.00695657742079429	6.63080767514502e-05	1.1062119589469e-05	6.51800089245872e-05	-9.12409615391088
"BH-00355"	"Peene"	"Freshwater"	1	0.000804547969656403	0.00696670682730924	6.7262025881303e-05	1.07753101294065e-05	6.51680499776885e-05	-9.11911717735705
"BH-00355"	"Peene"	"Freshwater"	1	0.000801499330655957	0.00697487282463186	6.84270414993307e-05	1.04693574297189e-05	6.48468540829987e-05	-9.11413820080321
"BH-00355"	"Peene"	"Freshwater"	1	0.000799612672913878	0.00698442213297635	6.93153949129853e-05	1.0140995091477e-05	6.43707273538599e-05	-9.10915922424938
"BH-00355"	"Peene"	"Freshwater"	1	0.000798850513163766	0.00699531012940652	6.99360107095047e-05	9.79094600624721e-06	6.37446675591254e-05	-9.10418024769554
"BH-00355"	"Peene"	"Freshwater"	1	0.000799716198125837	0.00700543507362785	7.02615796519411e-05	9.50931726907631e-06	6.28973226238287e-05	-9.09920127114171
"BH-00355"	"Peene"	"Freshwater"	1	0.000802438197233378	0.00701468987059349	7.02506916555109e-05	9.30571173583222e-06	6.1797634984382e-05	-9.09422229458787
"BH-00355"	"Peene"	"Freshwater"	1	0.000806714859437751	0.00701976796073182	7.01655510932619e-05	9.13018295403838e-06	6.05703257474342e-05	-9.08779637253777
"BH-00355"	"Peene"	"Freshwater"	1	0.000813084337349398	0.00701922356091031	6.99804551539491e-05	8.99244979919679e-06	5.9171218206158e-05	-9.07942263924268
"BH-00355"	"Peene"	"Freshwater"	1	0.000818447121820616	0.00702140562248996	6.99086122266845e-05	8.85702365015618e-06	5.7610620258813e-05	-9.0710489059476
"BH-00355"	"Peene"	"Freshwater"	1	0.000822203480589023	0.00702793842034806	7.00174921909862e-05	8.72527889335118e-06	5.57923248549755e-05	-9.06267517265251
