Sample	Quality	Age	Cohort	Core	I	Year	Increment	X	Y
30	3	4	2016	334.7	core			26	1272
30	3	4	2016	334.7	1	2017	489.4	915	792
30	3	4	2016	334.7	2	2018	287.7	1438	509
30	3	4	2016	334.7	3	2019	167.7	1743	345
30	3	4	2016	334.7	4	2020	106.0	1936	241
30	3	4	2016	334.7	edge		54.3	2034	187
4	3	2	2018	275.6	core			1005	1308
4	3	2	2018	275.6	1	2019	343.6	1609	935
4	3	2	2018	275.6	2	2020	383.7	2284	518
4	3	2	2018	275.6	edge		93.3	2448	417
5	3	9	2011	237.1	core			263	2403
5	3	9	2011	237.1	1	2012	501.8	1262	2126
5	3	9	2011	237.1	2	2013	174.9	1610	2029
5	3	9	2011	237.1	3	2014	228.8	2066	1903
5	3	9	2011	237.1	4	2015	191.0	2446	1797
5	3	9	2011	237.1	5	2016	130.1	2705	1725
5	3	9	2011	237.1	6	2017	103.7	2912	1668
5	3	9	2011	237.1	7	2018	113.3	3137	1605
5	3	9	2011	237.1	8	2019	153.6	3443	1521
5	3	9	2011	237.1	9	2020	115.3	3672	1457
5	3	9	2011	237.1	edge		68.6	3809	1419
6	3	10	2010	366.8	core			812	3005
6	3	10	2010	366.8	1	2011	401.4	1548	2622
6	3	10	2010	366.8	2	2012	209.6	1932	2422
6	3	10	2010	366.8	3	2013	180.2	2262	2251
6	3	10	2010	366.8	4	2014	181.9	2596	2077
6	3	10	2010	366.8	5	2015	161.1	2891	1924
6	3	10	2010	366.8	6	2016	128.2	3126	1801
6	3	10	2010	366.8	7	2017	155.8	3411	1653
6	3	10	2010	366.8	8	2018	140.3	3669	1519
6	3	10	2010	366.8	9	2019	129.9	3907	1395
6	3	10	2010	366.8	10	2020	93.4	4078	1306
6	3	10	2010	366.8	edge		69.4	4205	1240
7	3	2	2018	306.5	core			438	1576
7	3	2	2018	306.5	1	2019	592.7	1529	1020
7	3	2	2018	306.5	2	2020	336.6	2149	705
7	3	2	2018	306.5	edge		226.1	2566	493
8	3	5	2015	373.3	core			831	1573
8	3	5	2015	373.3	1	2016	421.2	1546	1077
8	3	5	2015	373.3	2	2017	223.1	1925	815
8	3	5	2015	373.3	3	2018	144.5	2170	645
8	3	5	2015	373.3	4	2019	101.5	2343	525
8	3	5	2015	373.3	5	2020	85.3	2488	425
8	3	5	2015	373.3	edge		40.0	2556	378
9	3	7	2013	353.3	core			1086	2117
9	3	7	2013	353.3	1	2014	460.3	1956	1733
9	3	7	2013	353.3	2	2015	229.5	2390	1541
9	3	7	2013	353.3	3	2016	269.5	2899	1316
9	3	7	2013	353.3	4	2017	239.0	3351	1116
9	3	7	2013	353.3	5	2018	168.2	3669	976
9	3	7	2013	353.3	6	2019	110.0	3876	884
9	3	7	2013	353.3	7	2020	68.3	4005	827
9	3	7	2013	353.3	edge		33.3	4068	799
