"ID"	"capt"	"area"	"clust"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"d18O"
"BH-00670"	"KB"	"Marine"	2	0.00482581517985027	0.00549929620782888	5.24359922680214e-05	5.96044873747594e-06	2.03158822087701e-05	-5.34033411764706
"BH-00670"	"KB"	"Marine"	2	0.00503299676192513	0.00580065367486631	6.16102523636364e-05	6.75625831508021e-06	1.26183643306952e-05	-5.66842573529412
"BH-00670"	"KB"	"Marine"	2	0.00514031008598931	0.00588525320802139	5.3610026368984e-05	7.07969804074866e-06	7.12508935128343e-06	-6.01934111764706
"BH-00670"	"KB"	"Marine"	2	0.00470824588983958	0.00589706770053476	3.0166111855615e-05	5.72503212245989e-06	4.76908611711226e-06	-5.48868858823529
"BH-00670"	"KB"	"Marine"	2	0.00446843213219251	0.00510015919187166	2.61479357946524e-05	7.80137762139036e-06	1.29824908235294e-05	-4.8861412
"BH-00670"	"KB"	"Marine"	2	0.00582742947871658	0.00517493952449198	2.34789349871658e-05	1.17118685331551e-05	1.58282377219252e-05	-6.6321592
"BH-00670"	"KB"	"Marine"	2	0.00520875878032085	0.00612306060106952	2.87796827807488e-05	9.33506908064171e-06	6.99011338010698e-06	-5.16687350588235
"BH-00670"	"KB"	"Marine"	2	0.00476115739935828	0.00586193073796791	2.63771699935831e-05	6.34663120641712e-06	2.49512224145455e-06	-3.70501137647059
"BH-00670"	"KB"	"Marine"	2	0.004973544668877	0.00561799266363636	2.7577521966845e-05	5.88726812727272e-06	5.00511215867377e-06	-3.89330743529412
"BH-00670"	"KB"	"Marine"	2	0.00548085014909091	0.00531160782877006	3.74758084352941e-05	6.81188141689839e-06	1.01494244980749e-05	-4.48044878235294
"BH-00670"	"KB"	"Marine"	2	0.00565620521764706	0.00495782834256685	5.36328043946524e-05	7.04801326374331e-06	1.46677752160428e-05	-4.54207294705882
"BH-00670"	"KB"	"Marine"	2	0.00535592912213904	0.00503340050994653	5.85793137283423e-05	6.07567262588235e-06	1.47324908842781e-05	-4.43936600588235
"BH-00670"	"KB"	"Marine"	2	0.00502139438802139	0.00556446171144385	3.12568283850267e-05	4.93704742032085e-06	5.83640453304812e-06	-4.54492591764706
"BH-00670"	"KB"	"Marine"	2	0.00397263548	0.00550671011999999	2.4846728e-05	3.53364520000001e-06	6.70407464e-06	-4.1683338
"BH-00681"	"WB"	"Marine"	2	0.00425159622127273	0.00931971464745455	0.000157550740163636	5.93290709e-06	0.000112811842618182	-7.1074641
"BH-00681"	"WB"	"Marine"	2	0.00393783168956685	0.00793243685933155	0.000146403277462032	5.35913448118182e-06	0.000100660009019786	-7.73654411470588
"BH-00681"	"WB"	"Marine"	2	0.0039165456744385	0.0070732075033369	0.000135785516788235	5.17044409922994e-06	8.2505743853476e-05	-8.1259746
"BH-00681"	"WB"	"Marine"	2	0.00437053724874866	0.0070720568495508	0.000126028521909626	5.60751233593583e-06	5.45975273893048e-05	-8.1259746
"BH-00681"	"WB"	"Marine"	2	0.00392116195751871	0.00689980766485562	0.000111493214017968	4.7124645015401e-06	5.9111622213262e-05	-7.65580504705882
"BH-00681"	"WB"	"Marine"	2	0.00326691943171123	0.00674538851135829	9.72354948846524e-05	3.54996364378075e-06	6.94802121897326e-05	-7.09348454411765
"BH-00681"	"WB"	"Marine"	2	0.0030772863713262	0.00701875929050267	9.36026452008556e-05	3.28046227915508e-06	5.41839394160428e-05	-6.85982625294118
"BH-00681"	"WB"	"Marine"	2	0.00304769058088235	0.00692597797335294	8.92678620817647e-05	3.161145612e-06	4.51529411764706e-05	-6.61675315882353
"BH-00681"	"WB"	"Marine"	2	0.00316358321765775	0.00650033111411765	8.4294957657861e-05	3.178360488e-06	4.18176470588235e-05	-6.36512115294118
"BH-00681"	"WB"	"Marine"	2	0.00310208905147594	0.00704642534769519	0.000107532166306952	3.35334559409626e-06	4.78755517343315e-05	-6.26526718235294
"BH-00681"	"WB"	"Marine"	2	0.0030080814546631	0.00744127668310161	0.000113947037409412	3.35744273234225e-06	5.16600235959358e-05	-6.22931975294118
"BH-00681"	"WB"	"Marine"	2	0.00287947101889305	0.00720229943286631	7.08823506787165e-05	2.89280146935829e-06	4.72890190035294e-05	-6.31319708823529
"BH-00681"	"WB"	"Marine"	2	0.00293187844860962	0.00672421823097326	5.75280609434224e-05	2.55746224150802e-06	4.17269671063102e-05	-5.78996228235294
"BH-00681"	"WB"	"Marine"	2	0.00309354762096791	0.00617198805974332	5.88240172480749e-05	2.30751133190909e-06	3.5170030995508e-05	-5.00083061764706
"BH-00681"	"WB"	"Marine"	2	0.00363027299129412	0.00652781801835294	5.60209243976471e-05	2.472306436e-06	2.06258836611764e-05	-4.96488318823529
"BH-00681"	"WB"	"Marine"	2	0.00401008792168449	0.00684060388906417	5.68539692679145e-05	2.68717788935829e-06	1.20098357649732e-05	-4.65419469117647
"BH-00681"	"WB"	"Marine"	2	0.00418068893216043	0.00709599764257754	6.25351977657755e-05	2.96881780840642e-06	1.12979204529411e-05	-3.97718477058823
"BH-00681"	"WB"	"Marine"	2	0.003828615851	0.00705325125945454	7.07704798363637e-05	3.56345228281818e-06	1.64946225663636e-05	-4.478737
"BH-00681"	"WB"	"Marine"	2	0.00342017528117647	0.00707104811663102	8.11734369572193e-05	4.05030869684492e-06	2.32814648224599e-05	-5.31579857058823
