"ID"	"capt"	"area"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"dist"	"d18O"
"BH-91053"	"Ziese"	"Freshwater"	0.00123666666666667	0.00647555555555556	5.16777777777778e-05	2.02777777777778e-05	0.000254777777777778	115.5	-9.0183838
"BH-91053"	"Ziese"	"Freshwater"	0.00120333333333333	0.00643222222222222	5.09333333333333e-05	2.00666666666667e-05	0.000243444444444444	121	-9.0183838
"BH-91053"	"Ziese"	"Freshwater"	0.00120777777777778	0.00645333333333333	5.18777777777778e-05	1.99777777777778e-05	0.000231333333333333	126.5	-9.0183838
"BH-91053"	"Ziese"	"Freshwater"	0.00120666666666667	0.0065	5.29e-05	1.96444444444444e-05	0.000217	132	-9.0183838
"BH-91053"	"Ziese"	"Freshwater"	0.00118555555555556	0.00642222222222222	5.32555555555556e-05	1.86333333333333e-05	0.000202111111111111	137.5	-9.0183838
"BH-91053"	"Ziese"	"Freshwater"	0.00117666666666667	0.00639222222222222	5.44111111111111e-05	1.79444444444444e-05	0.000191888888888889	143	-9.0183838
"BH-91053"	"Ziese"	"Freshwater"	0.00116777777777778	0.00642666666666667	5.46e-05	1.76555555555556e-05	0.000182777777777778	148.5	-9.5712895
"BH-91053"	"Ziese"	"Freshwater"	0.00115222222222222	0.00638	5.40333333333333e-05	1.71333333333333e-05	0.000173	154	-9.5712895
"BH-91053"	"Ziese"	"Freshwater"	0.00113255555555556	0.00633333333333333	5.28222222222222e-05	1.70777777777778e-05	0.000163222222222222	159.5	-9.5712895
"BH-91053"	"Ziese"	"Freshwater"	0.00110433333333333	0.00631444444444444	5.28444444444444e-05	1.67222222222222e-05	0.000156555555555556	165	-9.5712895
"BH-91053"	"Ziese"	"Freshwater"	0.00108011111111111	0.00627	5.28444444444444e-05	1.62888888888889e-05	0.000152	170.5	-9.5712895
"BH-91053"	"Ziese"	"Freshwater"	0.00104511111111111	0.00622222222222222	5.22e-05	1.59333333333333e-05	0.000149111111111111	176	-9.5712895
"BH-91053"	"Ziese"	"Freshwater"	0.00102733333333333	0.00627888888888889	5.19e-05	1.58888888888889e-05	0.000146333333333333	181.5	-9.3772875
"BH-91053"	"Ziese"	"Freshwater"	0.00101955555555556	0.00628777777777778	5.22333333333333e-05	1.59444444444444e-05	0.000141666666666667	187	-9.3772875
"BH-91053"	"Ziese"	"Freshwater"	0.000993888888888889	0.00629666666666667	5.17111111111111e-05	1.57e-05	0.000136266666666667	192.5	-9.3772875
"BH-91053"	"Ziese"	"Freshwater"	0.000983888888888889	0.00630444444444444	5.01111111111111e-05	1.57111111111111e-05	0.000128977777777778	198	-9.3772875
"BH-91053"	"Ziese"	"Freshwater"	0.000975	0.00629555555555556	4.91333333333333e-05	1.58555555555556e-05	0.000121577777777778	203.5	-9.3772875
"BH-91053"	"Ziese"	"Freshwater"	0.000975	0.00638222222222222	4.76222222222222e-05	1.60222222222222e-05	0.000114266666666667	209	-9.3772875
"BH-91053"	"Ziese"	"Freshwater"	0.000992111111111111	0.00650777777777778	4.76888888888889e-05	1.63777777777778e-05	0.000109377777777778	214.5	-9.3772875
