"ID"	"TL_mm"	"weight"	"sex"	"area"	"capt_date"	"age"	"cohort"	"year"	"inc_um"	"rad_um"	"core"	"d18O"	"sims_dist"
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-5.8173508	1111.831822
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-6.3799566	1150.819273
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-6.3799566	1191.310623
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-4.9249416	1229.93699
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-4.7018393	1270.428668
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-4.4496367	1310.920669
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-6.0016527	0
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-6.7485604	41.30375286
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-6.2150549	82.87339742
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-5.6524491	124.1692393
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-5.5263478	165.7467948
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-7.3693668	207.0410587
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-6.5060579	248.6201923
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-7.1365644	290.056891
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-6.4478573	331.4935897
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	NA	372.9302884
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-5.1965444	414.3669871
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-7.1365644	455.8036858
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-6.7291602	497.2403845
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-5.0219426	538.6770832
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-4.8861412	580.1137819
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	1	638	638	201.9	-4.4884371	621.5504807
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	2	329.7	967.7	201.9	-5.3323458	663.1327167
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	2	329.7	967.7	201.9	-6.9134621	704.569372
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	2	329.7	967.7	201.9	-4.6824391	746.0060321
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	2	329.7	967.7	201.9	-5.6330489	787.4426963
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	2	329.7	967.7	201.9	-5.1771442	828.879364
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	2	329.7	967.7	201.9	-5.1189436	870.3160346
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	2	329.7	967.7	201.9	-4.478737	911.7527077
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	2	329.7	967.7	201.9	-3.8288303	953.1893831
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	3	325.4	1293.1	201.9	-5.3711462	994.6260604
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	3	325.4	1293.1	201.9	-5.3129456	1036.062739
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	3	325.4	1293.1	201.9	-6.1762545	1076.510102
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	3	325.4	1293.1	201.9	-5.642749	1117.103845
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	3	325.4	1293.1	201.9	-4.76974	1157.551295
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	3	325.4	1293.1	201.9	-6.7485604	1197.998748
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	3	325.4	1293.1	201.9	-4.8279406	1238.446204
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	3	325.4	1293.1	201.9	-3.2371242	1278.893663
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	4	239.8	1532.9	201.9	-4.3526357	1319.341123
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	4	239.8	1532.9	201.9	-4.6242385	1359.788587
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	4	239.8	1532.9	201.9	-4.3914361	1400.236052
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	4	239.8	1532.9	201.9	-4.5951382	1440.683518
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	4	239.8	1532.9	201.9	-4.1683338	1481.278502
"BH-00670"	680	NA	"f"	"KB"	"01.12.2019"	4	2016	4	239.8	1532.9	201.9	-3.8482305	1521.874174
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-7.3111662	0
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-7.8252715	41.23105626
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-7.8252715	82.07923002
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-7.4663678	122.9308749
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-7.6506697	164.15846
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-8.2811762	205.0097559
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-8.2811762	246.23769
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-7.7961712	287.0888364
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-7.7088703	327.9405434
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-6.6903598	369.1679834
"BH-01812"	1020	8900	"f"	"SB"	"22.11.2019"	7	2013	1	537.6	537.6	230.4	-5.3226457	410.0195117
