"ID"	"age"	"cohort"	"capt"	"TL"	"weigth"	"sex"	"date"	"core"	"i"	"year"	"increment"	"quality"
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"edge"	NA	40	3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"core"	NA	NA	3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"1"	2014	460.3	3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"2"	2015	229.5	3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"3"	2016	269.5	3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"4"	2017	239	3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"5"	2018	168.2	3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"6"	2019	110	3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"7"	2020	68.3	3
"BH-00356"	7	2013	"Peene"	815	3000	"f"	2019-07-09	353.3	"edge"	NA	33.3	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"core"	NA	NA	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"1"	2012	322.3	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"2"	2013	182	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"3"	2014	184	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"4"	2015	178.7	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"5"	2016	151.8	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"6"	2017	115.8	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"7"	2018	118.2	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"8"	2019	140.3	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"9"	2020	140.7	3
"BH-01588"	9	2011	"KJB"	1050	NA	"f"	2020-02-01	300.9	"edge"	NA	138.3	3
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"core"	NA	NA	3
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"1"	2015	420.1	3
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"2"	2016	251.6	3
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"3"	2017	175.5	3
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"4"	2018	149.4	3
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"5"	2019	170.1	3
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"6"	2020	191.1	3
"BH-01850"	6	2014	"BEG"	910	NA	"f"	2020-02-14	670.4	"edge"	NA	102.2	3
