Station	waterbody	coast/FW	ID	Lat	Long	Date	Cond_mS	Sal_PSU	WT_C	pH	Secchi_cm	O2_mg/l	O2_perc	flow	waterlevel_cm	LT_C	d18O	SD_d18O	d2H	SD_d2H	type	comment
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	18.08.2020		7.7	23.2	8.73	40						-4.38	0.37	-32.41	0.81	Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	15.09.2020		6.9	17.3	8.38	35						-3.78	0.44	-30.20	1.23	Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	13.10.2020		6.7	11.5	8.22	30						-4.21	0.54	-31.71	1.44	Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	10.11.2020		7.5	8.5	8.19	45						-4.59	0.51	-34.29	1.36	Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	08.12.2020		7.3	2.5	8.19	40						-4.42	0.11	-33.60	0.28	Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	26.01.2021		5.65	1.6	8.17	30						-5.47	0.06	-40.05	0.37	Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	16.03.2021		4.7	4.3	8.41	25										Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	14.04.2021		5.3	7.1	8.89	20										Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	13.01.2020		7.4	4.7	8.05	40										Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	27.02.2020		8.8	4	8.09	45										Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	09.03.2020		8.9	4.7	8.14	45						-5.36	0.03	-39.10	0.04	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	20.04.2020		8.5	10	8.49	40						-5.18	0.04	-38.67	0.14	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	14.05.2020		8.2	9	8.83	30						-4.87	0.10	-36.64	0.25	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	10.06.2020		8.3	18.4	8.77	35						-4.53	0.12	-34.97	0.16	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	13.07.2020		7.95	16	8.59	35						-4.79	0.25	-35.51	0.64	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	17.08.2020		8.2	23.4	8.52	40						-4.49	0.12	-33.99	0.26	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	07.09.2020		7.7	16.8	8.26	45						-3.76	0.12	-31.51	0.41	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	12.10.2020		7.8	11.7	8.08	50						-4.22	0.16	-33.36	0.85	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	09.11.2020		8.15	9.4	8.20	70						-5.31	0.22	-38.04	0.62	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	09.12.2020		8	8	8.12	50						-4.89	0.44	-36.13	0.68	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	25.01.2021		6.45	1.7	8.28	40						-6.21	0.95	-43.34	2.73	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	08.03.2021		5.6	2.5	8.44	40						-6.04	0.17	-43.43	0.41	Timeseries	
Barther Bodden DB6	BAT	Coast	F	54.395	12.75	12.04.2021		7.1	6.1	8.5	30										Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	13.01.2020		8.9	4.6	8.15	70										Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	27.02.2020		9.9	4.2	8.29	55										Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	09.03.2020		10.1	4.4	8.21	65						-5.17	0.05	-37.83	0.26	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	20.04.2020		9.4	10.2	8.42	75						-5.54	0.08	-40.84	0.19	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	14.05.2020		9	9	8.63	40						-5.21	0.03	-38.89	0.07	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	10.06.2020		9.2	18	8.53	50						-4.87	0.04	-37.43	0.11	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	13.07.2020		8.6	16.1	8.64	50						-4.54	0.02	-36.31	0.03	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	17.08.2020		9.05	23.3	8.35	60						-4.40	0.23	-36.19	0.66	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	07.09.2020		8.8	16.7	8.15	80						-4.28	0.14	-35.26	0.41	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	12.10.2020		8.6	11.8	8.03	80						-4.34	0.02	-35.24	0.06	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	09.11.2020		9.05	9.3	8.22	150						-5.14	0.03	-39.27	0.07	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	09.12.2020		9.1	9.1	8.15	110						-4.91	0.08	-38.03	0.29	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	25.01.2021		6.9	1.6	8.29	50						-5.67	0.02	-41.93	0.09	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	08.03.2021		6.4	2.9	8.31	40						-5.88	0.03	-42.96	0.13	Timeseries	
Grabow DB2	GW	Coast	G	54.391667	12.838333	12.04.2021		8.7	6.3	8.35	50										Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	13.01.2020		10.6	4.7	8.12	110										Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	27.02.2020		13.35	4.1	8.15	200										Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	09.03.2020		10.35	4.5	8.15	90						-5.42	0.02	-38.71	0.10	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	20.04.2020		9.95	10.3	8.35	280						-5.67	0.13	-42.09	0.25	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	14.05.2020		9.2	8.7	8.36	120						-5.83	0.09	-43.53	0.25	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	10.06.2020		10.1	17.3	8.28	140						-5.72	0.06	-42.41	0.10	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	13.07.2020		9.2	15.8	8.51	120						-5.33	0.02	-40.83	0.01	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	17.08.2020		9.05	23.6	8.33	70						-4.53	0.04	-36.49	0.07	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	07.09.2020		8.9	16.6	8.18	110						-4.55	0.02	-36.45	0.13	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	12.10.2020		9.75	11.6	7.99	400						-5.26	0.16	-40.70	0.47	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	09.11.2020		8.6	9.4	8.16	350						-5.32	0.17	-41.06	0.48	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	09.12.2020		9.2	9.2	8.16	140						-5.03	0.01	-38.07	0.18	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	25.01.2021		8.7	1.8	8.2	250						-6.15	0.16	-45.62	0.70	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	08.03.2021		10.65	2.7	8.27	270						-5.66	0.02	-42.71	0.02	Timeseries	
Werderinseln / Am Bock DB1	GW	Coast	H	54.42	12.926667	12.04.2021		9.95	6.3	8.01	180										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	13.01.2020		13.3	4.8	8.09	320										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	27.02.2020		10.5	4.3	8.02	120										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	09.03.2020		10.2	4.6	8.12	100										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	20.04.2020		9.95	9.7	8.25	300										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	14.05.2020		9.25	8.8	8.25	350										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	10.06.2020		9.8	17.2	8.35	100										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	13.07.2020		9.75	16.2	8.18	370										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	17.08.2020		9	23.6	8.5	80										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	07.09.2020		8.9	16.4	8.24	160										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	12.10.2020		10.2	11.6	7.96	400										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	09.11.2020		8.5	9.4	8.10	350										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	09.12.2020		8.65	8.7	8.12	200										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	25.01.2021		9.25	2.3	8.17	400										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	08.03.2021		10.3	2.6	8.22	250										Timeseries	
Werderinseln / Am Bock	GW	Coast	B12/13	54.441573	13.008992	12.04.2021		9.9	6	8.02	160										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	13.01.2020		7.7	4.7	8.14	45										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	27.02.2020		10.1	4.2	8.18	50										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	09.03.2020		7.55	4.7	8.25	45										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	20.04.2020		8.65	10.3	8.5	45										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	14.05.2020		9	8.9	8.69	35										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	10.06.2020		9	18	8.59	45										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	13.07.2020		8.4	16	8.69	40										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	17.08.2020		8.6	23.1	8.51	40										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	07.09.2020		8.1	16.6	8.16	55										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	12.10.2020		8.1	12	8.11	65										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	09.11.2020		8.3	9.2	8.21	70										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	09.12.2020		8.6	8.6	8.17	55										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	25.01.2021		7	1.6	8.26	45										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	08.03.2021		6.1	2.5	8.33	40										Timeseries	
Barther Bodden	BAT	Coast	B76/61	54.403638	12.78596	12.04.2021		7.3	6.3	8.46	30										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	16.01.2020		0.25	5.8	7.89	100										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333																Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	05.03.2020		0.1	4.7	7.81	90										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	21.04.2020		0.6	11.7	8.07	40										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	13.05.2020		0.3	11.8	8.06	70										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	09.06.2020		0.45	18.8	8.04	80										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	14.07.2020		0.45	18.8	7.88	110										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	18.08.2020		0.8	23.4	7.96	90										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	15.09.2020		0.45	18	8.07	60										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	13.10.2020		0.3	11.1	7.77	130										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	10.11.2020		0.7	8.2	7.98	100										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	08.12.2020		0.5	2.8	7.92	150										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	26.01.2021		3.1	2.5	7.94	110										Timeseries	
Recknitz  Outflow	Recknitz	Freshwater	RM	54.252	12.455333	16.03.2021		0.1	5.3	7.89	75										Timeseries	
