Station	waterbody	coast/FW	ID	Lat	Long	Date	Cond_mS	Sal_PSU	WT_C	pH	Secchi_cm	O2_mg/l	O2_perc	flow	waterlevel_cm	LT_C	d18O	SD_d18O	d2H	SD_d2H	type	comment
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	30.10.2020		8.7	9.9								-5.7	0.17	-42.9	0.5	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	11.11.2020		8.8	7.9								-5.4	0.02	-40.4	0.1	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	27.11.2020		9.2	6.1								-5.4	0.04	-39.4	0.1	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	09.12.2020		8.9	3.0								-5.6	0.09	-41.7	0.3	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	01.01.2021		8.0	2.0								-5.4	0.09	-43.6	0.2	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	13.01.2021		9.0	2.6								-6.0	0.26	-45.4	0.8	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	27.01.2021		8.5	1.6								-6.3	0.20	-46.5	0.5	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	10.02.2021		9.1	-0.2								-6.3	0.27	-46.5	0.6	Timeseries	below ice
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	18.02.2021		10.3	0.3								-6.5	0.16	-47.4	0.3	Timeseries	below ice
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	25.02.2021		7.5	2.6												Timeseries	breaking ice
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	02.03.2021		8.2	3.7								-6.4	0.04	-46.7	0.1	Timeseries	no ice
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	18.03.2020		10.1									-5.9	0.03	-43.6	0.0	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	18.02.2021		8.8	1.8								-6.3	0.04	-46.4	0.1	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	25.02.2021		8.8	6.9								-6.3	0.04	-46.2	0.2	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	02.03.2021		9.3	3.6								-6.2	0.01	-45.6	0.1	Timeseries	
