name,id,waterbody,month,year,identifier,Lat,Long,type,turbidity,SAL,WT
KHJ,0313040702,Stettiner Haff,2,2002,2_2002,53.80667,14.235001,Coast,,1.3,4.4
KHJ,0313040702,Stettiner Haff,3,2002,3_2002,53.80667,14.235001,Coast,,1.1,4
KHJ,0313040702,Stettiner Haff,4,2002,4_2002,53.80667,14.235001,Coast,,0.6,8.2
KHJ,0313040702,Stettiner Haff,5,2002,5_2002,53.80667,14.235001,Coast,,0.4,17.8
KHJ,0313040702,Stettiner Haff,6,2002,6_2002,53.80667,14.235001,Coast,,0.5,18.9
KHJ,0313040702,Stettiner Haff,7,2002,7_2002,53.80667,14.235001,Coast,,0.5,19.1
KHJ,0313040702,Stettiner Haff,8,2002,8_2002,53.80667,14.235001,Coast,,1,22.5
KHJ,0313040702,Stettiner Haff,9,2002,9_2002,53.80667,14.235001,Coast,,0.7,20.7
KHJ,0313040702,Stettiner Haff,10,2002,10_2002,53.80667,14.235001,Coast,,1,7.8
KHJ,0313040702,Stettiner Haff,11,2002,11_2002,53.80667,14.235001,Coast,,1.4,4.1
KHJ,0313040702,Stettiner Haff,7,2003,7_2003,53.80667,14.235001,Coast,,1.5,18.7
KHJ,0313040702,Stettiner Haff,8,2003,8_2003,53.80667,14.235001,Coast,,3.2,18.4
KHJ,0313040702,Stettiner Haff,9,2003,9_2003,53.80667,14.235001,Coast,,1.5,16.5
KHJ,0313040702,Stettiner Haff,11,2003,11_2003,53.80667,14.235001,Coast,,2.5,5.9
KHJ,0313040702,Stettiner Haff,3,2004,3_2004,53.80667,14.235001,Coast,,2.7,3.6
KHJ,0313040702,Stettiner Haff,5,2004,5_2004,53.80667,14.235001,Coast,,1.1,14.8
KHJ,0313040702,Stettiner Haff,7,2004,7_2004,53.80667,14.235001,Coast,,1.3,15.8
KHJ,0313040702,Stettiner Haff,7,2004,7_2004,53.80667,14.235001,Coast,,1.3,16
KHJ,0313040702,Stettiner Haff,8,2004,8_2004,53.80667,14.235001,Coast,,1.4,21.7
KHJ,0313040702,Stettiner Haff,9,2004,9_2004,53.80667,14.235001,Coast,,2.3,13.2
KHJ,0313040702,Stettiner Haff,10,2004,10_2004,53.80667,14.235001,Coast,,2.5,9.8
KHJ,0313040702,Stettiner Haff,11,2004,11_2004,53.80667,14.235001,Coast,,3.5,3.2
KHJ,0313040702,Stettiner Haff,12,2004,12_2004,53.80667,14.235001,Coast,,3.5,4
KHJ,0313040702,Stettiner Haff,1,2005,1_2005,53.80667,14.235001,Coast,,3.6,1.8
KHJ,0313040702,Stettiner Haff,3,2005,3_2005,53.80667,14.235001,Coast,,2.3,2.9
KHJ,0313040702,Stettiner Haff,4,2005,4_2005,53.80667,14.235001,Coast,,1.1,9.8
KHJ,0313040702,Stettiner Haff,6,2005,6_2005,53.80667,14.235001,Coast,,0.8,19.1
KHJ,0313040702,Stettiner Haff,7,2005,7_2005,53.80667,14.235001,Coast,,1,18.7
KHJ,0313040702,Stettiner Haff,8,2005,8_2005,53.80667,14.235001,Coast,,1.3,19.6
KHJ,0313040702,Stettiner Haff,9,2005,9_2005,53.80667,14.235001,Coast,,3.2,18.1
KHJ,0313040702,Stettiner Haff,10,2005,10_2005,53.80667,14.235001,Coast,,2,14.5
KHJ,0313040702,Stettiner Haff,11,2005,11_2005,53.80667,14.235001,Coast,,3.8,6.9
KHJ,0313040702,Stettiner Haff,1,2006,1_2006,53.80667,14.235001,Coast,,2.8,0.1
KHJ,0313040702,Stettiner Haff,4,2006,4_2006,53.80667,14.235001,Coast,,2.1,3.5
KHJ,0313040702,Stettiner Haff,6,2006,6_2006,53.80667,14.235001,Coast,,0.6,21.9
KHJ,0313040702,Stettiner Haff,8,2006,8_2006,53.80667,14.235001,Coast,,1.2,18.8
KHJ,0313040702,Stettiner Haff,9,2006,9_2006,53.80667,14.235001,Coast,,1.3,17.4
KHJ,0313040702,Stettiner Haff,10,2006,10_2006,53.80667,14.235001,Coast,,1.7,12.4
KHJ,0313040702,Stettiner Haff,11,2006,11_2006,53.80667,14.235001,Coast,,2.8,7
KHJ,0313040702,Stettiner Haff,1,2007,1_2007,53.80667,14.235001,Coast,,2.9,2
KHJ,0313040702,Stettiner Haff,2,2007,2_2007,53.80667,14.235001,Coast,,2.6,0.4
KHJ,0313040702,Stettiner Haff,4,2007,4_2007,53.80667,14.235001,Coast,,1.4,8.28
KHJ,0313040702,Stettiner Haff,5,2007,5_2007,53.80667,14.235001,Coast,,1.1,13.99
KHJ,0313040702,Stettiner Haff,6,2007,6_2007,53.80667,14.235001,Coast,,1,22.6
KHJ,0313040702,Stettiner Haff,7,2007,7_2007,53.80667,14.235001,Coast,,1.2,17.5
KHJ,0313040702,Stettiner Haff,8,2007,8_2007,53.80667,14.235001,Coast,,1.3,19.9
KHJ,0313040702,Stettiner Haff,10,2007,10_2007,53.80667,14.235001,Coast,,1.7,8.5
KHJ,0313040702,Stettiner Haff,12,2007,12_2007,53.80667,14.235001,Coast,,2.7,3.5
KHJ,0313040702,Stettiner Haff,1,2008,1_2008,53.80667,14.235001,Coast,,2.3,3.1
KHJ,0313040702,Stettiner Haff,2,2008,2_2008,53.80667,14.235001,Coast,,2,2.9
KHJ,0313040702,Stettiner Haff,3,2008,3_2008,53.80667,14.235001,Coast,,1.5,3.8
KHJ,0313040702,Stettiner Haff,4,2008,4_2008,53.80667,14.235001,Coast,,1.2,7.4
KHJ,0313040702,Stettiner Haff,5,2008,5_2008,53.80667,14.235001,Coast,,0.6,17.8
KHJ,0313040702,Stettiner Haff,6,2008,6_2008,53.80667,14.235001,Coast,,0.6,19.8
KHJ,0313040702,Stettiner Haff,7,2008,7_2008,53.80667,14.235001,Coast,,1.2,19.22
KHJ,0313040702,Stettiner Haff,9,2008,9_2008,53.80667,14.235001,Coast,,2.2,17.63
KHJ,0313040702,Stettiner Haff,11,2008,11_2008,53.80667,14.235001,Coast,,3.2,6.43
KHJ,0313040702,Stettiner Haff,1,2009,1_2009,53.80667,14.235001,Coast,,2.1,0
KHJ,0313040702,Stettiner Haff,2,2009,2_2009,53.80667,14.235001,Coast,,2.8,0.6
KHJ,0313040702,Stettiner Haff,3,2009,3_2009,53.80667,14.235001,Coast,,1.4,4
KHJ,0313040702,Stettiner Haff,4,2009,4_2009,53.80667,14.235001,Coast,,1.5,11.5
KHJ,0313040702,Stettiner Haff,5,2009,5_2009,53.80667,14.235001,Coast,,0.9,15.6
KHJ,0313040702,Stettiner Haff,7,2009,7_2009,53.80667,14.235001,Coast,,1.2,21.4
KHJ,0313040702,Stettiner Haff,7,2009,7_2009,53.80667,14.235001,Coast,,1,20.48
KHJ,0313040702,Stettiner Haff,8,2009,8_2009,53.80667,14.235001,Coast,,1,21.02
KHJ,0313040702,Stettiner Haff,9,2009,9_2009,53.80667,14.235001,Coast,,1,17.39
KHJ,0313040702,Stettiner Haff,10,2009,10_2009,53.80667,14.235001,Coast,,1.7,12
KHJ,0313040702,Stettiner Haff,11,2009,11_2009,53.80667,14.235001,Coast,,1.9,5.23
KHJ,0313040702,Stettiner Haff,4,2010,4_2010,53.80667,14.235001,Coast,,0.7,9.17
KHJ,0313040702,Stettiner Haff,5,2010,5_2010,53.80667,14.235001,Coast,,0.7,11.22
KHJ,0313040702,Stettiner Haff,6,2010,6_2010,53.80667,14.235001,Coast,,0.4,13.8
KHJ,0313040702,Stettiner Haff,8,2010,8_2010,53.80667,14.235001,Coast,,0.6,21.3
KHJ,0313040702,Stettiner Haff,10,2010,10_2010,53.80667,14.235001,Coast,,0.7,10.77
KHJ,0313040702,Stettiner Haff,3,2011,3_2011,53.80667,14.235001,Coast,,0.6,3.93
KHJ,0313040702,Stettiner Haff,5,2011,5_2011,53.80667,14.235001,Coast,,0.5,10.95
KHJ,0313040702,Stettiner Haff,7,2011,7_2011,53.80667,14.235001,Coast,,0.9,19.88
KHJ,0313040702,Stettiner Haff,8,2011,8_2011,53.80667,14.235001,Coast,,0.7,18.58
KHJ,0313040702,Stettiner Haff,12,2011,12_2011,53.80667,14.235001,Coast,,2,3.7
KHJ,0313040702,Stettiner Haff,1,2012,1_2012,53.80667,14.235001,Coast,,2.7,1.67
KHJ,0313040702,Stettiner Haff,4,2012,4_2012,53.80667,14.235001,Coast,,1.2,7.64
KHJ,0313040702,Stettiner Haff,6,2012,6_2012,53.80667,14.235001,Coast,,1.3,16.73
KHJ,0313040702,Stettiner Haff,7,2012,7_2012,53.80667,14.235001,Coast,,0.8,18.17
KHJ,0313040702,Stettiner Haff,8,2012,8_2012,53.80667,14.235001,Coast,,1.3,20.86
KHJ,0313040702,Stettiner Haff,9,2012,9_2012,53.80667,14.235001,Coast,,1.6,13.33
KHJ,0313040702,Stettiner Haff,10,2012,10_2012,53.80667,14.235001,Coast,,1.5,11.67
KHJ,0313040702,Stettiner Haff,4,2013,4_2013,53.80667,14.235001,Coast,,0.8,3.49
KHJ,0313040702,Stettiner Haff,5,2013,5_2013,53.80667,14.235001,Coast,,0.4,15.15
KHJ,0313040702,Stettiner Haff,6,2013,6_2013,53.80667,14.235001,Coast,,0.5,18.71
KHJ,0313040702,Stettiner Haff,7,2013,7_2013,53.80667,14.235001,Coast,,0.4,22.07
KHJ,0313040702,Stettiner Haff,8,2013,8_2013,53.80667,14.235001,Coast,,0.3,20.01
KHJ,0313040702,Stettiner Haff,9,2013,9_2013,53.80667,14.235001,Coast,,0.7,15.21
KHJ,0313040702,Stettiner Haff,10,2013,10_2013,53.80667,14.235001,Coast,,1,11.38
KHJ,0313040702,Stettiner Haff,5,2014,5_2014,53.80667,14.235001,Coast,,1.5,17.02
KHJ,0313040702,Stettiner Haff,7,2014,7_2014,53.80667,14.235001,Coast,,1.4,22.31
KHJ,0313040702,Stettiner Haff,11,2014,11_2014,53.80667,14.235001,Coast,,2,8.01
KHJ,0313040702,Stettiner Haff,1,2015,1_2015,53.80667,14.235001,Coast,,2.5,2.1
KHJ,0313040702,Stettiner Haff,3,2015,3_2015,53.80667,14.235001,Coast,,2.1,4.4
KHJ,0313040702,Stettiner Haff,4,2015,4_2015,53.80667,14.235001,Coast,,1.9,11.4
KHJ,0313040702,Stettiner Haff,5,2015,5_2015,53.80667,14.235001,Coast,,1.6,12.9
KHJ,0313040702,Stettiner Haff,6,2015,6_2015,53.80667,14.235001,Coast,,1.7,18
KHJ,0313040702,Stettiner Haff,7,2015,7_2015,53.80667,14.235001,Coast,,1.7,18.3
KHJ,0313040702,Stettiner Haff,8,2015,8_2015,53.80667,14.235001,Coast,,1.8,20
KHJ,0313040702,Stettiner Haff,9,2015,9_2015,53.80667,14.235001,Coast,,1.7,15.4
KHJ,0313040702,Stettiner Haff,10,2015,10_2015,53.80667,14.235001,Coast,,2.5,9.3
KHJ,0313040702,Stettiner Haff,11,2015,11_2015,53.80667,14.235001,Coast,,2.9,8.4
KHJ,0313040702,Stettiner Haff,12,2015,12_2015,53.80667,14.235001,Coast,,3,4.6
KHJ,0313040702,Stettiner Haff,2,2016,2_2016,53.80667,14.235001,Coast,,3.2,3.1
KHJ,0313040702,Stettiner Haff,3,2016,3_2016,53.80667,14.235001,Coast,,3.1,5
KHJ,0313040702,Stettiner Haff,4,2016,4_2016,53.80667,14.235001,Coast,,2.4,9.5
KHJ,0313040702,Stettiner Haff,5,2016,5_2016,53.80667,14.235001,Coast,,1.9,13.2
KHJ,0313040702,Stettiner Haff,6,2016,6_2016,53.80667,14.235001,Coast,,1.8,19
KHJ,0313040702,Stettiner Haff,7,2016,7_2016,53.80667,14.235001,Coast,,1.7,19
KHJ,0313040702,Stettiner Haff,8,2016,8_2016,53.80667,14.235001,Coast,,1.7,17.9
KHJ,0313040702,Stettiner Haff,9,2016,9_2016,53.80667,14.235001,Coast,,2,16.4
KHJ,0313040702,Stettiner Haff,10,2016,10_2016,53.80667,14.235001,Coast,,2.1,8
KHJ,0313040702,Stettiner Haff,11,2016,11_2016,53.80667,14.235001,Coast,,2.6,4.2
KHJ,0313040702,Stettiner Haff,12,2016,12_2016,53.80667,14.235001,Coast,,2.5,3.8
KHJ,0313040702,Stettiner Haff,3,2017,3_2017,53.80667,14.235001,Coast,,2.6,2.3
KHJ,0313040702,Stettiner Haff,3,2017,3_2017,53.80667,14.235001,Coast,,2.4,5.3
KHJ,0313040702,Stettiner Haff,4,2017,4_2017,53.80667,14.235001,Coast,,1.7,7.2
KHJ,0313040702,Stettiner Haff,5,2017,5_2017,53.80667,14.235001,Coast,,1.4,17.7
KHJ,0313040702,Stettiner Haff,6,2017,6_2017,53.80667,14.235001,Coast,,1.3,18.3
KHJ,0313040702,Stettiner Haff,7,2017,7_2017,53.80667,14.235001,Coast,,1.5,20
KHJ,0313040702,Stettiner Haff,8,2017,8_2017,53.80667,14.235001,Coast,,1.1,19.8
KHJ,0313040702,Stettiner Haff,9,2017,9_2017,53.80667,14.235001,Coast,,1.3,14.7
KHJ,0313040702,Stettiner Haff,10,2017,10_2017,53.80667,14.235001,Coast,,1.5,11.8
KHJ,0313040702,Stettiner Haff,11,2017,11_2017,53.80667,14.235001,Coast,,1.5,4.4
KHJ,0313040702,Stettiner Haff,12,2017,12_2017,53.80667,14.235001,Coast,,1.8,2.8
KHJ,0313040702,Stettiner Haff,4,2018,4_2018,53.80667,14.235001,Coast,,0.8,14.3
KHJ,0313040702,Stettiner Haff,5,2018,5_2018,53.80667,14.235001,Coast,,0.6,20.9
KHJ,0313040702,Stettiner Haff,6,2018,6_2018,53.80667,14.235001,Coast,,0.8,17.6
KHJ,0313040702,Stettiner Haff,7,2018,7_2018,53.80667,14.235001,Coast,,0.9,23.8
KHJ,0313040702,Stettiner Haff,8,2018,8_2018,53.80667,14.235001,Coast,,1.6,18.8
KHJ,0313040702,Stettiner Haff,9,2018,9_2018,53.80667,14.235001,Coast,,1.6,13.8
KHJ,0313040702,Stettiner Haff,10,2018,10_2018,53.80667,14.235001,Coast,,2.3,10.1
KHJ,0313040702,Stettiner Haff,11,2018,11_2018,53.80667,14.235001,Coast,,2.5,5.5
KHJ,0313040702,Stettiner Haff,12,2018,12_2018,53.80667,14.235001,Coast,,2.7,2.5
KHJ,0313040702,Stettiner Haff,1,2019,1_2019,53.80667,14.235001,Coast,,3.6,0.5
KHJ,0313040702,Stettiner Haff,2,2019,2_2019,53.80667,14.235001,Coast,,3.1,4.1
KHJ,0313040702,Stettiner Haff,3,2019,3_2019,53.80667,14.235001,Coast,,2.9,4.8
KHJ,0313040702,Stettiner Haff,4,2019,4_2019,53.80667,14.235001,Coast,,2,12.1
KHJ,0313040702,Stettiner Haff,5,2019,5_2019,53.80667,14.235001,Coast,,2.1,16.1
KHJ,0313040702,Stettiner Haff,6,2019,6_2019,53.80667,14.235001,Coast,,1.9,23
